0.04 0.00:  1.8590, [ -0.686,  -1.728]
0.04 0.04:  1.5176, [  0.083,  -1.515]
0.04 0.08:  2.0179, [ -1.362,  -1.489]
0.04 0.12:  1.2937, [ -0.784,  -1.029]
0.04 0.17:  0.8091, [ -0.809,   0.002]
0.04 0.21:  0.7712, [ -0.683,   0.358]
0.04 0.25:  0.9232, [  0.072,   0.920]
0.04 0.29:  1.6572, [  1.029,   1.299]
0.04 0.33:  2.2299, [  0.222,   2.219]
0.04 0.37:  2.2258, [ -1.003,   1.987]
0.04 0.41:  2.4681, [ -0.475,   2.422]
0.04 0.45:  2.0515, [ -0.309,   2.028]
0.04 0.50:  2.1035, [ -0.782,   1.953]
0.04 0.54:  1.9453, [ -0.808,   1.770]
0.04 0.58:  2.9078, [ -2.070,   2.042]
0.04 0.62:  3.2563, [ -2.907,   1.468]
0.04 0.66:  2.1144, [  1.232,  -1.718]
0.04 0.70:  2.7934, [  1.748,   2.179]
0.04 0.74:  2.7763, [  1.300,   2.453]
0.04 0.79:  2.1287, [  1.995,   0.743]
0.08 0.00:  0.3932, [ -0.253,   0.301]
0.08 0.04:  1.4055, [ -1.383,   0.249]
0.08 0.08:  0.3963, [ -0.108,   0.381]
0.08 0.12:  0.6839, [  0.079,   0.679]
0.08 0.17:  1.5844, [ -0.010,   1.584]
0.08 0.21:  0.6561, [ -0.461,   0.467]
0.08 0.25:  1.8923, [ -1.110,   1.533]
0.08 0.29:  0.6662, [ -0.657,   0.112]
0.08 0.33:  1.7947, [  1.767,   0.316]
0.08 0.37:  0.3103, [  0.267,  -0.158]
0.08 0.41:  0.4417, [  0.039,  -0.440]
0.08 0.45:  0.6846, [ -0.055,   0.682]
0.08 0.50:  2.7414, [  0.233,   2.731]
0.08 0.54:  1.5623, [ -0.489,   1.484]
0.08 0.58:  2.0458, [ -0.223,   2.034]
0.08 0.62:  2.6743, [  0.022,   2.674]
0.08 0.66:  3.1082, [ -0.132,   3.105]
